Expected_Output,NNet_Output
7428,0,0.568321477073982
372,0,0.0607334966416608
3978,0,0.0195777142818032
9863,1,0.00275451563394169
3748,0,0.0542268165857488
5459,0,0.95851609678698
9212,1,0.726379279635918
2745,0,0.420767990008634
623,0,-0.0350433593213751
5242,0,0.0384296995044169
2174,0,-0.0243545166217909
2542,0,0.71383641106064
10187,1,-0.0952735253901585
5032,0,0.207118487116435
9047,1,0.943404796941066
2326,0,0.0473127719384991
1435,0,0.223988223881111
8997,1,0.306679358985226
7053,0,0.399075336622533
4752,0,0.556046191816124
6029,0,0.308765240118023
6087,0,0.164734938756236
519,0,0.225215176312058
1655,0,0.336144536451179
202,0,0.0966068678686376
4001,0,0.00349644645024905
699,0,0.00863191188754442
7289,0,0.113498278617897
8882,1,0.765694732266168
4891,0,0.0739623986293484
17,0,0.0237475089119688
455,0,0.379493410483908
6118,0,-0.0948382163428783
3631,0,0.262591933815469
2917,0,0.305774170404337
8202,1,0.759594922475117
3737,0,-0.0414445252152675
7943,0,0.446404962233444
2423,0,-0.0951094067266517
8436,1,0.583601334028015
6476,0,0.0478661033033794
9062,1,0.202779829483742
1624,0,0.497153461767003
658,0,-0.0988660190106071
8315,1,0.476266329912132
256,0,0.0645471384378384
3640,0,0.20212758464557
5449,0,0.541036727803494
7509,0,0.138934741214213
8918,1,-0.0602191234085537
9103,1,0.817258195740057
5138,0,-0.0421559067208064
2128,0,0.467198913257424
6062,0,0.125000155630343
7662,0,0.0604616506541072
6961,0,0.398502553508195
711,0,0.000238207677162428
9891,1,0.836838147810334
1583,0,0.244705735131144
602,0,-0.00211984806310506
7557,0,-0.0605094437521135
3272,0,-0.0568756860837951
6810,0,-0.287021650331963
9083,1,-0.0835272859476766
8570,1,0.484134533840051
8723,1,0.458181737049679
2599,0,-0.0309654978391161
2811,0,-0.092796184733949
8194,1,0.337866691870096
10084,1,0.824248978552845
9993,1,0.742983640087578
10323,1,0.452882090728314
815,0,-0.0825832744487992
1862,0,0.252090858526768
541,0,0.0717229503149988
2329,0,-0.0666523135528339
9247,1,0.541939970830179
7413,0,0.0861600586511431
9783,1,0.308370555050508
7058,0,-0.00118198756295312
2067,0,0.22540289958352
6324,0,-0.0994465242193573
1654,0,0.123273652283599
2545,0,-0.318619472680363
3673,0,0.654476857178648
6824,0,0.0312492829726514
5571,0,0.418502517134877
563,0,0.37860327255855
3502,0,0.0913273043277003
663,0,0.214041784057941
2918,0,-0.0739298092321488
3439,0,-0.0719032749298569
3081,0,-0.00971020201162098
10024,1,0.959474377914842
2352,0,0.391429368485199
10302,1,0.785801508674474
7488,0,0.0865220411224525
9224,1,0.786777333663454
5968,0,0.645571144360529
4302,0,0.0984577610817495
5810,0,0.190806423108023
4309,0,0.31904182800042
8304,1,0.442036885748095
4928,0,-0.135978288154974
10109,1,0.734473598635652
1848,0,0.294802586444583
9954,1,0.328524416168832
5902,0,0.0489621082313829
8290,1,0.662869029955344
9617,1,0.479184946744073
5708,0,0.042783988352122
1704,0,0.0949888697721459
8886,1,-0.181289636775328
3173,0,0.0380348628474905
7104,0,-0.00816821043906901
8596,1,0.249887463012171
3347,0,-0.381355347971338
9100,1,0.387121468532289
5330,0,0.0103866706342368
2698,0,0.0966351302142953
7967,0,0.112152672758583
4577,0,-0.0457041482354259
2367,0,0.158739839606494
2889,0,0.897570095807509
6216,0,-0.0173358716068344
9878,1,0.324778051457294
9490,1,0.863298000460292
2708,0,-0.344642252023605
3579,0,-0.0628566527078047
5017,0,0.20164955057704
7374,0,0.370850367119314
4366,0,0.345981396058911
10360,1,0.896457443768613
7603,0,0.170284799597869
7196,0,0.17681861422683
9179,1,0.447418536867288
7011,0,0.0257796630273976
9832,1,0.199884796158409
4298,0,0.0241389029776546
4465,0,0.0755825870649747
850,0,0.428814013320012
1631,0,-0.223785900840078
4842,0,0.0407597673425251
9930,1,1.163886243375
813,0,0.458082046719185
9528,1,1.0205022847118
5434,0,-0.0758405153329441
1390,0,0.026899047179394
4630,0,0.0821312084262052
4599,0,0.0690191733750798
10464,1,0.372706790258595
7179,0,0.87584394159593
8039,1,0.315578565228276
5345,0,-0.0753463693317078
10337,1,0.200850645378714
4738,0,0.203805765638888
2981,0,0.340391042870878
4892,0,0.0663734955843943
1955,0,-0.0154495306342746
8108,1,0.0177351190732208
4876,0,0.2872550772332
8930,1,0.311479828111596
5124,0,-0.00272837913667368
5096,0,0.504867043355571
2875,0,0.198996122164136
934,0,-0.062917546364973
9324,1,0.959472363526591
10280,1,0.422646197069562
3751,0,0.0403218922021581
1289,0,-0.0159571081777091
281,0,-0.0812674240805753
4905,0,0.504503275888501
2169,0,-0.0521488056820794
5155,0,-0.170972644412295
5053,0,0.665277657614197
3669,0,-0.122128615667332
4502,0,0.158743122746749
6465,0,0.0833533091579222
8559,1,0.384346080391724
6091,0,-0.0878816722630897
7545,0,0.557144242126336
8727,1,0.616813363400888
241,0,-0.053760279127796
776,0,-0.040503648425045
6382,0,0.0863189098389657
7975,0,0.0461560846616852
9399,1,0.669784084500399
4398,0,0.227651888708239
200,0,0.195799756551523
2667,0,0.0681439325335779
656,0,0.438190447678104
10111,1,0.575279391037339
786,0,0.619590568139663
10420,1,0.548852941661582
3065,0,0.201941146211503
7132,0,-0.362053886513558
9768,1,0.627043544169241
10359,1,0.710143232748091
4969,0,0.0208359628332098
7183,0,0.116044946213143
882,0,0.290154047693483
3703,0,0.13983333210263
5823,0,0.209366362366435
8708,1,0.549849497686035
8619,1,1.07220794996206
100,0,0.80353782985325
8437,1,0.68908479208232
7885,0,-0.0781385786004315
5479,0,0.222646041897874
9177,1,1.09261040320405
6688,0,-0.164259691633551
10080,1,0.183377590648927
4801,0,0.0230200999621437
6351,0,0.143894183181444
6127,0,0.168925783526382
307,0,0.0605317583936538
4007,0,0.5177691441687
8345,1,0.815854794507495
8268,1,0.172561334120072
5619,0,0.368592367438569
7556,0,-0.0934162481045751
4364,0,0.0634998573335449
4982,0,0.18230190163479
8978,1,0.40041905546571
255,0,0.198876514048027
7816,0,0.252155042627744
195,0,0.0285241830230113
1658,0,0.0227582295466442
9011,1,0.492755158341893
6865,0,0.457396161564804
445,0,0.0503579066637982
6464,0,-0.125085823288015
8615,1,0.553416928181505
8182,1,0.0751423457630556
8026,1,0.854987465256724
5898,0,0.161525838300114
7727,0,0.0124510472797685
5278,0,0.258638381405664
4898,0,-0.0185104825704832
4783,0,0.274762348646503
1325,0,0.0854335344769428
9656,1,0.568138776496242
2559,0,0.0548862320413637
8453,1,1.68536774551147
3511,0,0.234962977762305
7327,0,-0.0193109326383736
180,0,0.0558688939560462
2084,0,0.394786932602727
9978,1,0.885428802751327
9467,1,0.308866667484573
7591,0,0.407107402138019
10301,1,0.959350163531368
4414,0,0.417515695911383
8749,1,1.07483530536766
9447,1,0.0456678809880953
2197,0,-0.0237672736373891
2036,0,0.0347242697735419
9498,1,0.528428804315634
2775,0,-0.13340012976833
4621,0,0.182149516529596
903,0,0.0860126521319318
912,0,0.885537833779974
7696,0,0.310100641379635
2966,0,0.278577393623831
477,0,0.150579367984901
6163,0,-0.00819303783197678
9515,1,0.685015607002785
6115,0,-0.0343809689735403
4019,0,0.0085937799220851
3238,0,0.0976728155067119
7757,0,0.0591391613934454
1763,0,-0.051854936770997
5369,0,0.00462046670139105
1965,0,1.12734905850665
1218,0,0.0373043965009713
2899,0,0.0700723348678786
3340,0,-0.0162270940101508
1739,0,0.151235285239075
9335,1,0.644633511449086
8775,1,0.872205878503258
5480,0,-0.111669508764344
10056,1,0.124688610480156
3166,0,0.161587990084032
4552,0,0.19353806170715
2150,0,0.665700416912226
8256,1,1.13272526439055
4343,0,0.266508617085461
1446,0,-0.0347321953800023
7905,0,-0.0561836876939235
10377,1,0.852573939983663
121,0,0.097777867429157
7809,0,0.242953230741848
1933,0,0.356947391688082
9611,1,0.122872558352091
2138,0,0.0980845766961316
9039,1,0.208528626545811
7880,0,0.145388281695591
1290,0,-0.114097634398452
8081,1,0.903511751846111
6652,0,0.0252171133445664
884,0,-0.00159722594938816
9026,1,0.144074184576866
