testy,V1
1298,0,0.195512782573393
10360,1,0.220159573828609
6469,0,0.394589827952952
4748,0,0.220159573828609
3932,0,0.220159573828609
5983,0,0.195512782573393
5617,0,0.385412314301758
517,0,0.0770898614022376
7124,0,0.220159573828609
5392,0,0.0264031587244878
2152,0,0.220159573828609
8949,1,0.124438092861261
1015,0,0.336556051600404
6676,0,0.0280907859723885
564,0,0.220159573828609
1361,0,0.0137905951170904
7381,0,0.102152336464243
2269,0,0.339280447013106
6394,0,0.124438092861261
8289,1,0.299746109813367
6246,0,0.345080710218652
8619,1,0.364890940753888
4681,0,0.394589827952952
3150,0,0.0207524855292879
1816,0,0.219385219774511
3201,0,0.102152336464243
6931,0,0.220159573828609
8798,1,0.265034088353712
2641,0,0.0811203334115879
8270,1,0.286087978480219
6093,0,-0.00777395515064699
6530,0,0.382378754793292
5010,0,0.147669151796361
2310,0,0.00190378838714506
7245,0,0.195512782573393
3726,0,0.0811203334115879
178,0,0.286087978480219
8621,1,0.219385219774511
7636,0,0.394505597703469
4499,0,0.305618865803046
34,0,0.0615970225445916
381,0,0.265034088353712
6014,0,0.385412314301758
5592,0,0.374650222917895
1881,0,0.309270328934201
4879,0,0.102152336464243
3179,0,0.0811203334115879
10272,1,0.242636387268343
8837,1,0.219385219774511
2891,0,0.364890940753888
6726,0,0.388186412645754
6570,0,0.00190378838714506
2898,0,-0.00694949313439924
3016,0,0.124438092861261
8507,1,0.124438092861261
6324,0,0.220159573828609
2957,0,0.305618865803046
7587,0,0.220159573828609
8468,1,0.382378754793292
3894,0,0.0811203334115879
1939,0,0.392638230591426
4028,0,0.389538656191927
2146,0,0.220159573828609
8726,1,0.309270328934201
4208,0,0.380367089570853
4723,0,0.394589827952952
4415,0,0.171493647176279
10229,1,0.339280447013106
3872,0,0.220159573828609
9122,1,0.395258647061819
2810,0,0.305618865803046
5303,0,0.220159573828609
8059,1,0.364890940753888
6629,0,0.265034088353712
4041,0,0.389538656191927
5289,0,0.385412314301758
292,0,0.360851192821502
48,0,0.392638230591426
5730,0,0.220159573828609
1924,0,0.0137905951170904
8557,1,0.286087978480219
9230,1,0.353188512788272
6886,0,0.220159573828609
7990,0,0.339280447013106
7981,0,0.195512782573393
6318,0,0.0615970225445916
1508,0,0.0437786326721457
2219,0,0.0615970225445916
550,0,0.220159573828609
4068,0,0.0615970225445916
3012,0,0.102152336464243
482,0,0.220159573828609
2807,0,0.323391591129103
1329,0,0.220159573828609
4850,0,-0.00694949313439924
1201,0,0.0137905951170904
10412,1,0.339280447013106
4852,0,0.124438092861261
7657,0,0.124438092861261
6433,0,0.250367503015094
370,0,0.388186412645754
7122,0,0.364890940753888
7816,0,0.242636387268343
791,0,0.0135307637161917
10070,1,0.220159573828609
9781,1,0.220159573828609
2336,0,0.220159573828609
4447,0,0.318631527833669
3333,0,0.220159573828609
156,0,0.382378754793292
2363,0,0.0615970225445916
4465,0,-0.00694949313439924
9716,1,0.394589827952952
9782,1,0.392197094339559
10487,1,0.353117814092319
6713,0,0.177747414906934
1937,0,0.220159573828609
9055,1,0.0137905951170904
3893,0,0.327728325543976
3972,0,0.374534433361513
4267,0,0.0615970225445916
4408,0,0.220159573828609
3653,0,0.0437786326721457
7665,0,0.220159573828609
9942,1,0.265034088353712
760,0,0.394589827952952
8007,1,0.220159573828609
4559,0,0.265034088353712
5421,0,0.220159573828609
7409,0,0.290074414983343
2793,0,0.220159573828609
8886,1,0.394589827952952
6363,0,0.382378754793292
6317,0,0.327728325543976
5409,0,0.360851192821502
1399,0,0.0811203334115879
7821,0,0.394505597703469
6513,0,0.220159573828609
690,0,0.394589827952952
4016,0,0.382378754793292
7534,0,0.220159573828609
9525,1,0.386096700664082
146,0,0.339280447013106
10383,1,0.220159573828609
3481,0,0.171493647176279
4470,0,0.171493647176279
3191,0,0.171493647176279
6920,0,0.250367503015094
2660,0,0.353117814092319
3225,0,0.286087978480219
2551,0,0.242636387268343
2090,0,0.299746109813367
4558,0,0.380367089570853
8443,1,0.389538656191927
6402,0,0.220159573828609
7572,0,0.242636387268343
8627,1,0.220159573828609
1297,0,0.147669151796361
7188,0,0.147669151796361
6471,0,0.339280447013106
5472,0,0.220159573828609
4134,0,0.124438092861261
4355,0,0.220159573828609
6401,0,0.394505597703469
1946,0,0.305618865803046
4372,0,0.0278048071028104
10008,1,0.374650222917895
4941,0,0.219385219774511
6053,0,0.394589827952952
460,0,0.382378754793292
9659,1,0.353117814092319
944,0,0.339280447013106
9456,1,0.380367089570853
5525,0,0.389538656191927
10203,1,0.305618865803046
3188,0,0.0811203334115879
1013,0,0.313593769191477
1874,0,0.0811203334115879
9623,1,0.286087978480219
1684,0,0.327728325543976
9938,1,0.353117814092319
7293,0,0.220159573828609
6095,0,-0.00694949313439924
