V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1,12.414,92,20,NA,65,14,68,101,59,692.01,NA,NA,NA,-
2,NA,88,NA,NA,61,NA,49,101,59,0,0,4.138,98,-
3,12.096,80,42,NA,28,44,68,101,NA,0,0,12.732,NA,-
4,NA,80,3,NA,NA,44,49,NA,59,NA,0,12.732,98,-
5,8.9127,80,NA,4.138,61,82,103,21,NA,NA,0,12.732,27,-
6,11.777,NA,63,4.4563,NA,NA,103,101,37,0,0,12.732,98,-
7,15.597,80,8,1.5915,NA,NA,68,21,37,0,0,NA,54,-
8,7.3211,80,20,4.138,65,14,73,101,NA,0,0,9.5493,98,-
9,10.186,80,18,3.8197,65,NA,68,21,59,0,0,15.915,98,-
10,10.823,80,7,1.2732,61,NA,49,15,NA,0,0,14.324,64,-
11,7.9577,88,42,2.8648,65,NA,73,101,NA,0,0,11.141,98,-
12,10.186,80,NA,NA,65,58,99,NA,NA,0,0,12.732,98,-
13,12.096,NA,3,2.2282,61,NA,NA,101,59,0,0,15.915,98,-
14,17.189,NA,42,2.8648,89,71,99,21,37,NA,0,6.3662,NA,-
15,11.141,36,8,1.5915,61,35,49,NA,59,0,0,12.732,98,-
16,13.687,80,3,NA,61,96,49,101,59,0,649.99,12.732,NA,-
17,18.78,NA,42,2.8648,28,94,99,101,37,0,0,12.732,98,-
18,NA,80,NA,NA,65,26,73,101,59,0,0,12.732,98,-
19,NA,NA,42,NA,28,34,68,101,59,0,0,25.465,98,-
20,NA,NA,NA,2.8648,61,26,NA,101,59,0,NA,12.732,98,-
21,7.3211,NA,18,3.8197,65,83,68,101,59,0,NA,16.552,98,-
22,NA,NA,90,3.1831,NA,85,73,21,59,NA,NA,14.006,98,-
23,14.324,80,20,NA,28,34,73,101,NA,0,448.18,12.732,98,-
24,9.5493,36,NA,NA,61,NA,73,101,59,NA,0,12.732,98,-
25,7.0028,NA,90,3.1831,61,71,49,NA,59,0,0,4.7746,NA,-
26,15.279,NA,3,2.2282,65,58,99,101,59,0,0,NA,84,-
27,NA,80,90,3.1831,NA,58,73,NA,59,0,0,12.732,98,-
28,6.0479,80,42,2.8648,60,NA,NA,101,37,0,NA,7.9577,98,-
29,15.279,88,18,3.8197,61,82,NA,101,59,0,0,12.732,98,-
30,NA,80,8,1.5915,61,58,NA,101,59,0,NA,13.687,NA,-
31,16.87,88,20,4.138,61,82,49,101,59,0,0,12.732,98,-
32,7.6394,NA,NA,4.138,61,94,49,NA,59,0,0,15.915,98,-
33,15.597,80,42,2.8648,89,14,99,101,NA,NA,0,12.732,NA,-
34,7.9577,NA,NA,2.8648,65,44,68,101,NA,0,0,NA,98,-
35,NA,80,42,2.8648,61,58,NA,101,59,0,NA,12.096,98,-
36,14.006,80,NA,4.4563,28,34,99,101,NA,0,0,12.732,NA,-
37,13.051,NA,19,NA,61,26,49,101,59,0,0,12.732,98,-
38,9.231,80,19,3.5014,65,82,68,NA,NA,0,0,13.687,98,-
39,7.9577,80,90,3.1831,61,NA,103,69,37,0,0,12.732,98,-
40,5.7296,80,42,2.8648,65,NA,73,NA,NA,0,NA,9.5493,NA,-
41,NA,87,42,NA,28,34,68,101,59,0,0,19.099,NA,-
42,NA,80,6,0.95493,61,58,49,101,NA,0,0,12.732,64,-
43,11.141,80,NA,3.5014,61,71,NA,101,59,0,0,12.732,NA,-
44,13.051,80,42,NA,61,14,49,101,NA,0,NA,15.279,98,-
45,NA,80,NA,2.8648,61,58,NA,101,NA,1595.7,0,12.732,NA,-
46,9.5493,80,20,4.138,61,85,NA,NA,59,766.17,0,12.732,98,-
47,NA,NA,NA,NA,62,NA,68,101,59,0,0,12.732,NA,-
48,15.279,80,42,NA,61,96,49,101,59,0,0,12.732,98,-
49,9.231,80,90,3.1831,28,94,68,101,59,0,0,NA,98,-
50,11.459,80,42,NA,61,NA,49,101,59,0,0,12.732,98,-
51,NA,80,NA,3.1831,28,14,68,101,37,0,0,12.732,98,-
52,NA,NA,90,3.1831,65,NA,73,101,59,0,0,12.732,NA,-
53,NA,80,90,3.1831,65,82,NA,NA,NA,0,0,10.186,98,-
