V1,	V2,	V3,	V4,	V5,	V6,	V7,	V8,	V9,	V10,	V11,	V12,	V13,	V14
1,	0.30136,	a,	a,	nan,	a,	a,	a,	a,	a,	0.02174,	nan,	nan,	NA,	0
2,	nan,	b,	NA,	nan,	b,	NA,	b,	a,	a,	0.0,	0.0,	0.12244,	a,	0
3,	0.28767,	c,	b,	nan,	c,	b,	a,	a,	NA,	0.0,	0.0,	0.39794,	NA,	0
4,	nan,	c,	c,	nan,	NA,	b,	b,	NA,	a,	nan,	0.0,	0.39794,	a,	0
5,	0.15068,	c,	NA,	0.79998,	b,	c,	c,	b,	NA,	nan,	0.0,	0.39794,	b,	0
6,	0.27395,	NA,	d,	0.86665,	NA,	NA,	c,	a,	b,	0.0,	0.0,	0.39794,	a,	0
7,	0.43834,	c,	e,	0.26665,	NA,	NA,	a,	b,	b,	0.0,	0.0,	nan,	c,	0
8,	0.08218,	c,	a,	0.79998,	a,	a,	d,	a,	NA,	0.0,	0.0,	0.29591,	a,	0
9,	0.20548,	c,	f,	0.73332,	a,	NA,	a,	b,	a,	0.0,	0.0,	0.49997,	a,	0
10,	0.23289,	c,	g,	0.19998,	b,	NA,	b,	c,	NA,	0.0,	0.0,	0.44897,	d,	0
11,	0.10958,	b,	b,	0.53333,	a,	NA,	d,	a,	NA,	0.0,	0.0,	0.34694,	a,	0
12,	0.20548,	c,	NA,	nan,	a,	d,	e,	NA,	NA,	0.0,	0.0,	0.39794,	a,	0
13,	0.28767,	NA,	c,	0.40000,	b,	NA,	NA,	a,	a,	0.0,	0.0,	0.49997,	a,	0
14,	+,	+,	+,	+,	+,	+,	+,	+,	+,	+,	+,	+,	+,	+
15,	0.24657,	d,	e,	0.26665,	b,	f,	b,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
16,	0.35614,	c,	c,	nan,	b,	g,	b,	a,	a,	0.0,	0.46876,	0.39794,	NA,	0
17,	0.57532,	NA,	b,	0.53333,	c,	h,	e,	a,	b,	0.0,	0.0,	0.39794,	a,	0
18,	nan,	c,	NA,	nan,	a,	i,	d,	a,	a,	0.0,	0.0,	0.39794,	a,	0
19,	nan,	NA,	b,	nan,	c,	j,	a,	a,	a,	0.0,	0.0,	0.80612,	a,	0
20,	nan,	NA,	NA,	0.53333,	b,	i,	NA,	a,	a,	0.0,	nan,	0.39794,	a,	0
21,	0.08218,	NA,	f,	0.73332,	a,	k,	a,	a,	a,	0.0,	nan,	0.52039,	a,	0
22,	nan,	NA,	h,	0.59999,	NA,	l,	d,	b,	a,	nan,	nan,	0.43878,	a,	0
23,	0.38356,	c,	a,	nan,	c,	j,	d,	a,	NA,	0.0,	0.32322,	0.39794,	a,	0
24,	0.17808,	d,	NA,	nan,	b,	NA,	d,	a,	a,	nan,	0.0,	0.39794,	a,	0
25,	0.06849,	NA,	h,	0.59999,	b,	e,	b,	NA,	a,	0.0,	0.0,	0.14285,	NA,	0
26,	0.42466,	NA,	c,	0.40000,	a,	d,	e,	a,	a,	0.0,	0.0,	nan,	e,	0
27,	nan,	c,	h,	0.59999,	NA,	d,	d,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
28,	0.02739,	c,	b,	0.53333,	e,	NA,	NA,	a,	b,	0.0,	nan,	0.24489,	a,	0
29,	0.42466,	b,	f,	0.73332,	b,	c,	NA,	a,	a,	0.0,	0.0,	0.39794,	a,	0
30,	nan,	c,	e,	0.26665,	b,	d,	NA,	a,	a,	0.0,	nan,	0.42855,	NA,	0
31,	0.49312,	b,	a,	0.79998,	b,	c,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
32,	0.09588,	NA,	NA,	0.79998,	b,	h,	b,	NA,	a,	0.0,	0.0,	0.49997,	a,	0
33,	0.43834,	c,	b,	0.53333,	d,	a,	e,	a,	NA,	nan,	0.0,	0.39794,	NA,	0
34,	0.10958,	NA,	NA,	0.53333,	a,	b,	a,	a,	NA,	0.0,	0.0,	nan,	a,	0
35,	nan,	c,	b,	0.53333,	b,	d,	NA,	a,	a,	0.0,	nan,	0.37755,	a,	0
36,	0.36987,	c,	NA,	0.86665,	c,	j,	e,	a,	NA,	0.0,	0.0,	0.39794,	NA,	0
37,	0.32877,	NA,	i,	nan,	b,	i,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
38,	0.16438,	c,	i,	0.66665,	a,	c,	a,	NA,	NA,	0.0,	0.0,	0.42855,	a,	0
39,	0.10958,	c,	h,	0.59999,	b,	NA,	c,	d,	b,	0.0,	0.0,	0.39794,	a,	0
40,	0.01369,	c,	b,	0.53333,	a,	NA,	d,	NA,	NA,	0.0,	nan,	0.29591,	NA,	0
41,	nan,	e,	b,	nan,	c,	j,	a,	a,	a,	0.0,	0.0,	0.60204,	NA,	0
42,	nan,	c,	j,	0.13333,	b,	d,	b,	a,	NA,	0.0,	0.0,	0.39794,	d,	0
43,	0.24657,	c,	NA,	0.66665,	b,	e,	NA,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
44,	0.32877,	c,	b,	nan,	b,	a,	b,	a,	NA,	0.0,	nan,	0.47959,	a,	0
45,	nan,	c,	NA,	0.53333,	b,	d,	NA,	a,	NA,	0.05013,	0.0,	0.39794,	NA,	0
46,	0.17808,	c,	a,	0.79998,	b,	l,	NA,	NA,	a,	0.02406,	0.0,	0.39794,	a,	0
47,	nan,	NA,	NA,	nan,	f,	NA,	a,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
48,	0.42466,	c,	b,	nan,	b,	g,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
49,	0.16438,	c,	h,	0.59999,	c,	h,	a,	a,	a,	0.0,	0.0,	nan,	a,	0
50,	0.26026,	c,	b,	nan,	b,	NA,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
51,	nan,	c,	NA,	0.59999,	c,	a,	a,	a,	b,	0.0,	0.0,	0.39794,	a,	0
52,	nan,	NA,	h,	0.59999,	a,	NA,	d,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
53,	nan,	c,	h,	0.59999,	a,	c,	NA,	NA,	NA,	0.0,	0.0,	0.31632,	a,	0
54,	0.19177,	c,	a,	0.79998,	d,	l,	d,	b,	b,	0.0,	nan,	0.39794,	a,	0
55,	0.08218,	c,	h,	0.59999,	NA,	NA,	NA,	a,	a,	nan,	0.0,	0.39794,	NA,	0
56,	nan,	c,	h,	0.59999,	b,	c,	f,	a,	a,	0.0,	0.0,	0.19387,	a,	0
57,	0.13698,	NA,	b,	0.53333,	a,	e,	d,	a,	a,	nan,	0.0,	0.39794,	d,	0
58,	0.31504,	c,	f,	nan,	b,	a,	b,	NA,	NA,	0.0,	0.0,	0.39794,	a,	0
59,	0.68493,	NA,	k,	nan,	b,	NA,	NA,	NA,	a,	0.0,	0.0,	0.01020,	NA,	0
60,	0.01369,	NA,	c,	0.40000,	a,	NA,	d,	NA,	b,	0.0,	0.0,	nan,	a,	0
61,	nan,	f,	g,	0.19998,	b,	f,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
62,	0.01369,	c,	b,	0.53333,	a,	l,	NA,	a,	a,	0.0,	0.0,	0.29591,	a,	0
63,	0.47944,	c,	a,	0.79998,	b,	e,	b,	NA,	a,	0.0,	nan,	0.39794,	b,	0
64,	nan,	c,	NA,	0.53333,	b,	e,	c,	a,	b,	0.0,	0.0,	0.39794,	NA,	0
65,	nan,	c,	b,	nan,	b,	l,	NA,	a,	a,	0.0,	0.0,	0.47959,	NA,	0
66,	0.49312,	c,	b,	0.53333,	NA,	l,	d,	NA,	NA,	0.0,	0.0,	0.34694,	NA,	0
67,	0.21916,	NA,	d,	0.86665,	b,	c,	NA,	a,	a,	0.0,	0.0,	0.49997,	a,	0
68,	0.17808,	c,	e,	nan,	a,	l,	a,	a,	a,	0.0,	nan,	nan,	a,	0
69,	0.54795,	NA,	i,	0.66665,	NA,	NA,	b,	a,	a,	0.0,	0.0,	nan,	a,	0
70,	0.27395,	c,	NA,	0.59999,	c,	i,	e,	a,	NA,	0.0,	0.0,	0.39794,	a,	0
71,	0.15068,	NA,	h,	0.59999,	c,	d,	e,	b,	b,	0.0,	0.0,	0.24489,	a,	0
72,	0.17808,	c,	b,	0.53333,	b,	l,	NA,	e,	b,	0.0,	0.36109,	nan,	NA,	0
73,	0.16438,	f,	NA,	0.59999,	a,	NA,	a,	a,	a,	0.0,	0.0,	0.49997,	a,	0
74,	0.42466,	c,	f,	0.73332,	c,	j,	e,	a,	b,	0.0,	0.0,	0.39794,	f,	0
75,	0.20548,	NA,	b,	0.53333,	a,	e,	d,	b,	a,	0.0,	0.0,	0.39794,	a,	0
76,	0.41097,	b,	d,	0.86665,	NA,	c,	a,	a,	b,	0.0,	0.0,	nan,	NA,	0
77,	0.04109,	c,	h,	0.59999,	NA,	h,	d,	a,	b,	0.0,	0.0,	0.39794,	a,	0
78,	0.16438,	NA,	b,	0.53333,	a,	i,	a,	a,	a,	0.0,	0.0,	0.39794,	a,	0
79,	0.0,	NA,	NA,	nan,	a,	NA,	d,	a,	b,	0.34095,	nan,	nan,	a,	0
80,	0.17808,	NA,	c,	0.40000,	a,	NA,	d,	NA,	NA,	nan,	0.0,	0.39794,	a,	0
81,	0.19177,	f,	b,	0.53333,	NA,	a,	a,	a,	b,	0.0,	0.0,	0.39794,	a,	0
82,	0.34246,	c,	b,	0.53333,	b,	b,	b,	a,	a,	0.0,	0.0,	nan,	a,	0
83,	0.09588,	NA,	a,	0.79998,	a,	l,	f,	a,	NA,	0.0,	0.0,	nan,	a,	0
84,	0.15068,	c,	h,	0.59999,	NA,	l,	NA,	a,	b,	0.04063,	nan,	0.24489,	a,	0
85,	nan,	NA,	b,	0.53333,	a,	d,	d,	a,	b,	0.0,	0.0,	0.39794,	a,	0
86,	0.49312,	c,	e,	0.26665,	b,	NA,	b,	a,	a,	0.0,	0.0,	0.49997,	a,	0
87,	0.53422,	e,	h,	0.59999,	NA,	l,	b,	a,	a,	0.0,	0.0,	0.49997,	a,	0
88,	nan,	c,	NA,	0.59999,	NA,	l,	b,	NA,	NA,	nan,	0.0,	nan,	a,	0
89,	0.06849,	c,	b,	0.53333,	a,	i,	a,	a,	a,	0.0,	nan,	0.40816,	a,	0
90,	0.05479,	c,	h,	0.59999,	a,	e,	d,	a,	b,	0.0,	0.0,	0.39794,	a,	0
91,	nan,	c,	a,	nan,	b,	j,	b,	a,	NA,	0.0,	0.0,	0.60204,	a,	0
92,	0.17808,	c,	NA,	nan,	a,	j,	d,	b,	a,	0.0,	0.0,	0.39794,	g,	0
93,	0.02739,	c,	h,	0.59999,	a,	e,	d,	b,	NA,	0.0,	nan,	0.34694,	NA,	0
94,	nan,	c,	h,	0.59999,	a,	NA,	d,	a,	b,	0.0,	0.39461,	0.27550,	a,	0
95,	0.24657,	NA,	b,	0.53333,	b,	NA,	b,	NA,	a,	0.0,	0.0,	0.39794,	NA,	0
96,	0.30136,	NA,	h,	0.59999,	c,	i,	a,	a,	a,	0.0,	nan,	0.39794,	a,	0
97,	0.15068,	c,	f,	0.73332,	a,	l,	a,	NA,	b,	0.0,	nan,	0.60204,	a,	0
98,	0.09588,	c,	b,	0.53333,	NA,	e,	a,	a,	NA,	0.0,	0.40448,	0.39794,	a,	0
99,	0.28767,	b,	b,	nan,	NA,	NA,	b,	NA,	a,	0.04385,	0.0,	nan,	a,	0
100,	0.27395,	c,	a,	0.79998,	b,	l,	NA,	NA,	a,	0.0,	nan,	0.49997,	a,	0
101,	0.39724,	c,	f,	nan,	c,	h,	a,	NA,	NA,	0.0,	nan,	0.35713,	a,	0
102,	0.35614,	b,	b,	0.53333,	b,	i,	b,	NA,	a,	0.0,	0.0,	0.60204,	a,	0
103,	nan,	c,	i,	0.66665,	b,	a,	c,	NA,	b,	nan,	0.0,	0.34694,	a,	0
104,	0.04109,	c,	h,	0.59999,	a,	l,	NA,	a,	NA,	0.0,	nan,	nan,	a,	0
105,	nan,	NA,	b,	0.53333,	b,	i,	b,	a,	a,	0.0,	nan,	0.39794,	a,	0
106,	0.13698,	c,	h,	0.59999,	a,	l,	d,	a,	b,	0.0,	0.0,	0.39794,	a,	0
107,	0.02739,	c,	h,	0.59999,	a,	e,	d,	a,	a,	0.0,	0.0,	0.29591,	d,	0
108,	0.72603,	c,	h,	0.59999,	NA,	h,	NA,	a,	NA,	0.0,	0.0,	0.39794,	a,	0
109,	0.19177,	c,	b,	0.53333,	a,	g,	e,	b,	b,	nan,	0.0,	0.29591,	a,	0
110,	0.06849,	c,	NA,	0.59999,	b,	e,	NA,	a,	NA,	0.0,	0.0,	0.23469,	a,	0
111,	nan,	c,	b,	0.53333,	g,	NA,	NA,	a,	b,	0.0,	nan,	0.23469,	a,	0
112,	0.64383,	c,	c,	0.40000,	b,	NA,	b,	NA,	a,	0.0,	0.50021,	0.39794,	a,	0
113,	0.35614,	NA,	h,	0.59999,	c,	NA,	a,	a,	NA,	0.0,	0.0,	nan,	a,	0
114,	0.41097,	f,	h,	0.59999,	c,	a,	e,	a,	b,	0.0,	0.0,	0.37755,	d,	0
115,	0.23289,	c,	b,	0.53333,	NA,	a,	NA,	a,	b,	nan,	0.0,	0.39794,	a,	0
116,	0.21916,	NA,	a,	nan,	a,	j,	f,	e,	b,	0.0,	0.0,	nan,	NA,	0
117,	0.05479,	c,	NA,	0.53333,	a,	i,	d,	a,	a,	0.0,	nan,	nan,	a,	0
118,	nan,	c,	b,	nan,	b,	i,	b,	NA,	a,	0.0,	nan,	0.45917,	NA,	0
119,	0.08218,	c,	a,	0.79998,	NA,	b,	NA,	a,	a,	0.0,	0.0,	0.39794,	a,	0
120,	0.73972,	NA,	NA,	0.59999,	d,	l,	e,	b,	a,	nan,	nan,	0.01020,	NA,	0
